"文件","行数","类别","扩展名","符号数","主要作用"
"components/chat-messages.tsx","144","React界面组件",".tsx","16","该文件属于“React界面组件”模块"
"components/chat-shell.tsx","2239","React界面组件",".tsx","215","该文件属于“React界面组件”模块"
"components/desktop-connection-status.tsx","245","React界面组件",".tsx","23","该文件属于“React界面组件”模块"
"components/desktop-folder-bind-button.tsx","224","React界面组件",".tsx","19","该文件属于“React界面组件”模块"
"components/extension-connect-panel.tsx","111","React界面组件",".tsx","10","该文件属于“React界面组件”模块"
"components/icons.tsx","234","React界面组件",".tsx","13","该文件属于“React界面组件”模块"
"components/literature-create-folder-modal.tsx","149","React界面组件",".tsx","16","该文件属于“React界面组件”模块"
"components/literature-debug-panel.tsx","157","React界面组件",".tsx","9","该文件属于“React界面组件”模块"
"components/literature-keyword-highlight.tsx","90","React界面组件",".tsx","6","该文件属于“React界面组件”模块"
"components/literature-library-shell.tsx","566","React界面组件",".tsx","78","该文件属于“React界面组件”模块"
"components/literature-library-upload-modal.tsx","173","React界面组件",".tsx","16","该文件属于“React界面组件”模块"
"components/literature-paper-card.tsx","464","React界面组件",".tsx","40","该文件属于“React界面组件”模块"
"components/literature-paper-detail-shell.tsx","1078","React界面组件",".tsx","68","该文件属于“React界面组件”模块"
"components/literature-paper-folder-selector.tsx","285","React界面组件",".tsx","32","该文件属于“React界面组件”模块"
"components/literature-paper-reading-shell.tsx","521","React界面组件",".tsx","60","该文件属于“React界面组件”模块"
"components/literature-reading-library-shell.tsx","176","React界面组件",".tsx","19","该文件属于“React界面组件”模块"
"components/literature-review-shell.tsx","1545","React界面组件",".tsx","120","该文件属于“React界面组件”模块"
"components/literature-shell.tsx","553","React界面组件",".tsx","52","该文件属于“React界面组件”模块"
"components/message-export-menu.tsx","40","React界面组件",".tsx","7","该文件属于“React界面组件”模块"
"components/presentation-shell.tsx","344","React界面组件",".tsx","33","该文件属于“React界面组件”模块"
"components/presentation-template-picker.tsx","205","React界面组件",".tsx","19","该文件属于“React界面组件”模块"
"components/project-translation-dialog.tsx","407","React界面组件",".tsx","40","该文件属于“React界面组件”模块"
"components/research-page-header.tsx","150","React界面组件",".tsx","9","该文件属于“React界面组件”模块"
"components/research-tool-panel.tsx","901","React界面组件",".tsx","75","该文件属于“React界面组件”模块"
